AutoGreen local log
周一 2026/08 16:30:02.69
周一 2026/08 19:00:02.70
周二 2026/08  8:32:24.38
周二 2026/08 12:02:23.02
周二 2026/08 14:02:22.95
周四 2026/08 10:30:05.54
周四 2026/08 11:30:06.13
周四 2026/08 12:00:07.18
周四 2026/08 16:30:07.51
周五 2026/08 10:19:44.69
周五 2026/08 10:49:44.32
周五 2026/08 14:19:44.42
周日 2026/08 19:00:03.34
周一 2026/08 11:26:19.60
周一 2026/08 15:26:19.90
周三 2026/08 11:24:19.23
周三 2026/08 15:24:14.03
周三 2026/08 16:54:13.79
周四 2026/08  8:26:20.61
周四 2026/08  9:56:19.21
周四 2026/08 10:26:20.26
周四 2026/08 12:26:17.64
周四 2026/08 13:56:17.70
